n,original,reverseOrdered,sorted,partiallyOrdered
2,5.366666666666666E-4,5.566666666666667E-4,4.9E-4,0.002143333333333333
4,0.0012133333333333334,0.00123,0.0011766666666666666,0.0010199999999999999
8,5.0E-4,8.233333333333334E-4,0.0010166666666666666,0.0014233333333333333
16,4.433333333333333E-4,3.6666666666666667E-4,0.00113,6.9E-4
32,0.00114,0.0012566666666666666,0.0010166666666666666,0.0010266666666666666
64,8.033333333333333E-4,0.0013433333333333333,0.0014933333333333333,0.0012766666666666666
128,0.0029799999999999996,0.00147,0.00142,0.0013966666666666667
256,0.0036266666666666665,0.0028266666666666666,0.004376666666666667,0.0026833333333333336
