size,thread_count,cutoff,time
4194304,4,610000,172.5
4194304,4,660000,170.3
4194304,4,710000,171.6
4194304,4,760000,171.0
4194304,4,810000,169.3
4194304,4,860000,171.1
4194304,4,910000,168.9
4194304,4,960000,168.3
4194304,8,510000,208.2
4194304,8,560000,142.2
4194304,8,610000,142.2
4194304,8,660000,141.6
4194304,8,710000,142.5
4194304,8,760000,143.0
4194304,8,810000,142.0
4194304,8,860000,143.1
4194304,8,910000,142.5
4194304,8,960000,141.9
4194304,16,510000,171.4
4194304,16,560000,142.4
4194304,16,610000,142.6
4194304,16,660000,141.7
4194304,16,710000,142.0
4194304,16,760000,143.3
4194304,16,810000,141.9
4194304,16,860000,143.6
4194304,16,910000,143.0
4194304,16,960000,142.5
8388608,1,510000,399.8
8388608,1,560000,406.3
8388608,1,610000,408.9
8388608,1,660000,407.0
8388608,1,710000,408.7
8388608,1,760000,411.5
8388608,1,810000,409.1
8388608,1,860000,410.1
8388608,1,910000,412.4
8388608,1,960000,402.8
8388608,2,510000,387.1
8388608,2,560000,368.5
8388608,2,610000,374.4
8388608,2,660000,363.8
8388608,2,710000,363.0
8388608,2,760000,367.5
8388608,2,810000,368.9
8388608,2,860000,366.3
8388608,2,910000,367.4
8388608,2,960000,360.3
8388608,4,510000,438.9
8388608,4,560000,331.2
8388608,4,610000,328.5
8388608,4,660000,327.4
8388608,4,710000,336.1
8388608,4,760000,331.5
8388608,4,810000,329.6
8388608,4,860000,331.1
8388608,4,910000,331.3
8388608,4,960000,336.8
8388608,8,510000,407.1
8388608,8,560000,311.6
8388608,8,610000,306.3
8388608,8,660000,306.8
8388608,8,710000,304.2
8388608,8,760000,302.7
8388608,8,810000,304.1
8388608,8,860000,303.5
8388608,8,910000,304.7
8388608,8,960000,305.6
8388608,16,510000,389.6
8388608,16,560000,306.8
8388608,16,610000,309.4
8388608,16,660000,306.5
8388608,16,710000,312.7
8388608,16,760000,315.4
8388608,16,810000,304.2
8388608,16,860000,305.7
8388608,16,910000,305.0
8388608,16,960000,306.5
16777216,1,510000,751.8
16777216,1,560000,729.0
16777216,1,610000,734.4
16777216,1,660000,725.4
16777216,1,710000,728.7
16777216,1,760000,733.6
16777216,1,810000,728.3
16777216,1,860000,726.7
16777216,1,910000,768.5
16777216,1,960000,780.4
16777216,2,510000,860.7
16777216,2,560000,737.1
16777216,2,610000,707.5
16777216,2,660000,729.1
16777216,2,710000,698.3
16777216,2,760000,741.9
16777216,2,810000,750.3
16777216,2,860000,721.8
16777216,2,910000,720.1
16777216,2,960000,700.4
16777216,4,510000,805.0
16777216,4,560000,675.2
16777216,4,610000,663.6
16777216,4,660000,672.0
16777216,4,710000,671.3
16777216,4,760000,671.4
16777216,4,810000,656.0
16777216,4,860000,654.6
16777216,4,910000,660.8
16777216,4,960000,688.9
16777216,8,510000,742.9
16777216,8,560000,686.3
16777216,8,610000,681.9
16777216,8,660000,671.4
16777216,8,710000,663.8
16777216,8,760000,639.8
16777216,8,810000,650.1
16777216,8,860000,670.9
16777216,8,910000,686.8
16777216,8,960000,693.3
16777216,16,510000,778.9
16777216,16,560000,656.6
16777216,16,610000,652.4
16777216,16,660000,660.5
16777216,16,710000,695.0
16777216,16,760000,670.2
16777216,16,810000,672.2
16777216,16,860000,665.2
16777216,16,910000,665.5
16777216,16,960000,663.3
