n,d
2361,39.27525788648539
2371,43.346546506867895
2381,41.30690023020277
2391,44.48886021692154
2401,43.543680378792914
2411,42.12216249104401
2421,42.61723788841224
2431,43.97160949799905
2441,47.69262247566527
2451,43.45769208855618
2461,41.56904003859301
2471,44.07329593751381
2481,45.70354158938336
2491,44.540827546385714
2501,45.29579466253984
2511,41.89326975138132
2521,41.53059280045317
2531,46.77835599172417
2541,43.859568273398075
2551,48.44062711735479
2561,49.57582641696152
2571,45.93449251414261
2581,43.40163239025954
2591,42.02927572390595
2601,51.838049975132144
2611,48.64026248300736
2621,41.97211311977075
2631,42.993484761156495
2641,46.887076768442405
2651,50.252638909350644
2661,44.509273981404
2671,42.016878068380564
2681,38.6887602491913
2691,47.072013231573585
2701,45.51629307221239
2711,44.739859919513414
2721,44.43129349603482
2731,44.18732836292939
2741,38.015976794602715
2751,48.18173095564292
2761,46.932505910652864
2771,44.2328097150548
2781,53.56080774318446
2791,42.08917508478155
2801,47.25172007375098
2811,45.986264040950225
2821,44.70328558510718
2831,49.69041319093683
2841,42.25996516120961
2851,50.18507344736092
2861,43.95729191780727
2871,48.695454594392835
2881,42.59503683728185
2891,46.079262096345246
2901,43.198285829504066
2911,48.971182396305196
2921,48.958124968772616
2931,50.63810817566103
2941,49.57355611445731
2951,48.538480612969224
2961,45.0228258311644
2971,49.64118426889333
2981,47.34133359624453
2991,52.006505396018824
3001,48.20643118834975
3011,51.709191882279846
3021,49.70357812961144
3031,49.929438454052764
3041,50.403398497500476
3051,46.9236981808898
3061,53.951167469763405
3071,49.00342105104583
3081,51.04218055726116
3091,47.426435797688136
3101,49.64138919735196
3111,49.03667614791
3121,48.514670260158645
3131,43.653236789632096
3141,55.22718427849161
3151,49.559272007533046
3161,43.98771351329544
3171,45.163129782213645
3181,47.531102241767215
3191,46.847603062478505
3201,51.77351768341658
3211,48.74190073360935
3221,49.53930139067778
3231,49.71321117494721
3241,51.82192496321638
3251,55.55368587233163
3261,47.15376821327806
3271,46.02869203160994
3281,49.47931856503805
3291,54.44937825196668
3301,56.079209304070154
3311,47.2215123971274
3321,58.066849263556406
3331,49.56860087721265
3341,52.64837496286645
3351,51.68919305581762
3361,56.93903266937152
3371,54.95486922289565
3381,56.605019969317944
3391,51.58703479649384
3401,52.43850323879172
3411,49.98699248840642
3421,50.87551239375189
3431,49.944800474798775
3441,54.610382194838195
3451,49.07021550717507
3461,47.57554309093736
3471,52.259862824847836
3481,58.79993878410338
3491,52.42716059626511
3501,47.46679609489086
3511,51.437742437279894
3521,48.49161466338181
3531,51.473030201550074
3541,54.27460707176869
3551,49.008694771295225
3561,48.474663604354525
3571,54.05858824483882
3581,55.871969296439815
3591,53.21426744629522
3601,53.21781069911355
3611,58.7598154036255
3621,55.614602427325146
3631,50.534440603462414
3641,49.34440588754665
3651,60.547834936450066
3661,52.210545802218014
3671,51.43230572089726
3681,51.76328769344958
3691,54.89739410732035
3701,50.500250043101154
3711,51.33453935195993
3721,51.46955083802663
3731,55.14491372226674
3741,47.37481466863196
3751,54.60992430681081
3761,59.30114339708753
3771,52.82093058652156
3781,55.85275229820921
3791,50.71215362561154
3801,46.91838670317338
3811,52.48157925257374
3821,54.40071112380611
3831,56.56491207170677
3841,55.38239392225242
3851,57.302318245914925
3861,57.504079147943315
3871,56.99303184433617
3881,54.3895995145466
3891,56.905696863336026
3901,53.218308323065095
3911,50.49598205756022
3921,57.08821542788485
3931,59.85699831590578
3941,52.11849582539397
3951,59.30297083265428
3961,60.93533945782477
3971,52.94839669721604
3981,57.798078357139275
3991,51.539939209859334
4001,51.53754836754667
4011,57.5056445210174
4021,64.63514033982808
4031,50.06196388411425
4041,64.04127251379867
4051,62.63482040639507
4061,57.14529916941787
4071,60.192285037027915
4081,53.79318830667505
4091,51.99246900298609
4101,54.91999938232815
4111,57.784343742605934
4121,55.6820996274524
4131,49.62743885000747
4141,60.23250106654409
4151,52.89464651442822
4161,54.63843745409999
4171,56.835343909910385
4181,55.396322194578
4191,50.72561438726658
4201,60.37110491336979
4211,67.04415290848243
4221,51.65251167285928
4231,55.083433935081004
4241,60.71998732281354
4251,48.85454325462823
4261,57.27478847161227
4271,68.26166273219884
4281,58.13178789140667
4291,62.8016240338283
4301,53.905993136657
4311,62.36160578597381
4321,49.90673135384805
4331,56.750531273180265
4341,56.96085967101524
4351,68.35572470060869
4361,58.709979924893204
4371,59.266489066769275
4381,62.116177593726974
4391,57.38099412225737
4401,66.54957053057211
4411,58.40214657344222
4421,50.1521802546603
4431,57.505799370052095
4441,56.33735598298463
4451,55.68885776110639
4461,58.193869800150274
4471,58.370627880738134
4481,60.48335452259756
4491,57.089442122467275
4501,56.28169688524633
4511,57.379981432201944
4521,50.492259153043065
4531,61.03027073362471
4541,64.21687294907535
4551,63.65385217168004
4561,57.05481352528862
4571,63.992734312290615
4581,57.1163282497724
4591,64.95171567927197
4601,62.76652740257715
4611,61.27124466776682
4621,62.68405458869551
4631,59.99537514375929
4641,63.82378745528931
4651,63.38745067047042
4661,54.77633436431655
4671,58.120149988192814
4681,65.83698987644644
4691,62.14039904993456
4701,54.29919754987726
4711,63.50732677819391
4721,60.32708426819708
4731,60.37801326397658
4741,63.15677088125414
4751,61.074989351437694
4761,60.489921957869846
4771,70.60973807254805
4781,69.9417982092526
4791,58.82018392256471
4801,60.265119916606935
4811,54.474758752752706
4821,68.12409634733338
4831,62.15676297649808
4841,59.33408857324546
4851,63.73733326809483
4861,59.7844367526644
4871,66.07575958963083
4881,58.662673719550675
4891,63.15485143516216
4901,62.27180008418731
4911,59.7247847610868
4921,69.73562510352983
4931,59.599460556421654
4941,53.106354354728
4951,64.8238746163863
4961,54.631865950511646
4971,61.599882024814534
4981,61.735256456834485
4991,60.814178804182234
5001,59.92380412193993
5011,72.40060516766417
5021,62.486427227101736
5031,63.83073229951903
5041,70.04924222167463
5051,69.95882108844312
5061,65.23601251735336
5071,65.88689558692653
5081,63.102907769264974
5091,65.82489361835583
5101,56.71914962636742
5111,61.16162510202837
5121,65.7058949928043
5131,67.32105283274396
5141,70.62779404446329
5151,62.36562343895969
5161,50.84186470966709
5171,64.87581476071725
5181,61.937973695058574
5191,64.62386340166451
5201,59.47883656962132
5211,63.37935704245648
5221,61.47098853357689
5231,65.60033255610357
5241,63.3830634966708
5251,59.76517237913003
5261,69.58228583165273
5271,60.43098492775591
5281,59.22179288570286
5291,61.99487172837169
5301,56.459302108889766
5311,59.756832696556906
5321,68.17901460663295
5331,68.13147864974646
5341,70.58616359600832
5351,64.18818358729997
5361,63.308411829795546
5371,66.59228998365256
5381,54.2675482251074
5391,60.56751517220419
5401,63.18301812951467
5411,74.27042217103559
5421,59.98006798573083
5431,65.14133148824173
5441,67.5072500194011
5451,67.13368934325744
5461,62.07130313379876
5471,66.2407461102439
5481,70.83962257906133
5491,63.83502571276874
5501,66.70594110889046
5511,63.503261565807556
5521,62.593098956802095
5531,68.44973474374942
5541,64.36205708279154
5551,62.45420566650534
5561,65.07412474896394
5571,65.33667193291295
5581,69.2931215508749
5591,57.51545667444928
5601,69.71314756143798
5611,59.83125056857851
5621,69.51510853197719
5631,66.74610421356869
5641,66.00468215051063
5651,63.326545088705494
5661,57.42348948455179
5671,63.0127056918111
5681,63.103449511642815
5691,66.08857533206921
5701,68.67383775038597
5711,63.366646954690395
5721,62.88339329057435
5731,65.4499191345494
5741,66.69402467859447
5751,65.10598920742454
5761,63.80306377095962
5771,60.23731955939343
5781,79.29977973899777
5791,73.74866421525962
5801,75.13803904991715
5811,75.12981344772399
5821,64.95771366031342
5831,66.8640213463361
5841,65.77537796227087
5851,64.87786153197413
5861,77.41161070691132
5871,64.77637558189124
5881,68.46298422985024
5891,68.50932475992064
5901,65.94348557664138
5911,60.149427979022676
5921,72.76017497649057
5931,65.27647466604508
5941,71.28789474724654
5951,68.01679038301334
5961,69.19200114368826
5971,67.59795338166212
5981,60.766293727231506
5991,61.237791662520685
